agr;site_type;numero_de_site;hopital;site;adresse;post;commune;telefon;website;langue;region;province;region_hospitalier;type_hopital;statut;a;a1;a2;c;cd;d;e;g;ib_ptca_adultes;k;k1;k2;l;m;nic;s1;s2;s3;s4;s5;s6;t;t1;t2;tfb;tfp;tg;total_lits;capacite-fusion;remarques;officine_hospitaliere;imagerie_medicale_avec_scanner;tomographe_a_resonance_magnetique_rmn;scanner-pet;radiotherapie;centre_de_dialyse;programme_de_soins_pathologie_cardiaque_a;programme_de_soins_pathologie_cardiaque_b3;programme_de_soins_pathologie_cardiaque_b1-b2;programme_de_soins_pathologie_cardiaque_c;programme_de_soins_pathologie_cardiaque_e;programme_de_soins_pathologie_cardiaque_p;programme_de_soins_pathologie_cardiaque_t;collaboration_ou_association_concernant_programme_de_soins_pathologie_cardiaque;programme_de_soins_de_base_soins_de_l_avc;programme_de_soins_specialise_soins_de_l_avc_impliquant_des_procedures_invasives;programme_de_soins_medecine_de_la_reproduction_type_a;programme_de_soins_medecine_de_la_reproduction_type_b;association_concernant_du_programme_de_soins_medecine_de_la_reproduction;programme_de_soins_d_oncologie;programme_de_soins_de_base_en_oncologie;programme_coordinateur_de_soins_oncologiques_specialise_pour_le_cancer_du_sein;programme_de_soins_oncologiques_specialise_pour_le_cancer_du_sein_clinique_du_sein_satellite;programme_de_soins_oncologiques_specialise_pour_le_cancer_du_sein;programme_de_soins_pour_enfants;programme_de_soins_pour_le_patient_geriatrique_service_de_gériatrique;programme_de_soins_pour_le_patient_geriatrique_consultation_gériatrique;programme_de_soins_pour_le_patient_geriatrique_l_hôpital_de_jour_pour_le_patient_gériatrique;programme_de_soins_pour_le_patient_geriatrique_liaison_interne;programme_de_soins_pour_le_patient_geriatrique_liaison_externe;soins_intensifs;soins_neonatals_locaux_nx;soins_perinatals_regionaux;liaison_pediatrique;urgences;smur;banque_de_sang_hospitaliere;soins_palliatifs;hospitalisation_chirurgical_de_jour;hospitalisation_non_chirurgical_de_jour;coordination_locale_des_donateurs;fonction_de_mediateur;centre_de_transplantation;centre_pour_la_reproduction_humaine;centre_de_traitement_de_grands_brules;centre_d_expertise_pour_les_patients_comateux;centre_de_la_mucoviscidose;service_anatomopathologie
004;SP;2950;CLINIQUE REINE ASTRID;;RUE DEVANT LES RELIGIEUSES 2;4960;MALMEDY;080/79.31.11;;F;W;Liège;Verviers;Hôpital général;Public;;;;59;4;34;15;24;;;;;;15;;;;;;;;;;;;;;151;;Association en ce qui concerne l'exploitation des services de pédiatrie et de la maternité avec C.H.R. de la Citadelle à Liège;Officine Hospitaliere;Imagerie médicale avec scanner;;;;;X;;;;;X;;;;;;;;;Programme de soins de base en oncologie;;;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux (Association en ce qui concerne l'exploitation de la fonction soins néonatals locaux (N*) avec C.H.R. de la Citadelle à Liège);;;Soins Urgents Spécialisés;;Banque de sang hospitalière;Soins Palliatifs;;;Coordination locale des donneurs;;;;;;;
006;SP;3300;CENTRE HOSPITALIER REGIONAL SAMBRE ET MEUSE;;AVENUE ALBERT 1IER 185;5000;NAMUR;081/72.61.11;www.chrsm.be;F;W;Namur;Namur - Dinant;Hôpital général;Public;30;;;99;24;100;27;60;;;;;;40;15;;24;;;;;;;;;;;419;;;Officine Hospitaliere;Imagerie médicale avec scanner;X (1);;;Centre de dialyse;X;X;;;X;X;;Association programme B3 avec Clinique St. Luc, Bouge (706);;;;X;;Programme de soins d'oncologie;;;;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;Soins Périnatals Régionaux;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;;Coordination locale des donneurs;;;;;;;
007;SP;2780;CENTRE HOSPITALIER DE LA HAUTE SENNE;SAINT-VINCENT;BOULEVARD ROOSEVELT 17;7060;SOIGNIES;067/34.84.11;www.chrhautesenne.be;F;W;Hainaut;Ath - Soignies;Hôpital général;Public;;;;;;;;;;;;;;;;;;;;40;;;;;;;;40;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
007;SS;2790;CENTRE HOSPITALIER DE LA HAUTE SENNE;LE TILLERIAU;CHAUSSEE DE BRAINE 47;7060;SOIGNIES;067/34.84.11;;F;W;Hainaut;Ath - Soignies;;;;;;50;10;59;15;48;;;;;;18;;;;;;;;;;;;;;200;;;Officine Hospitaliere;Imagerie médicale avec scanner;;;;;X;;X;;;X;;Les programmes partiels B1-B2 est utilisé en association avec Centre Hospitalier de Bruxelles - Hôpital Erasme, Bruxelles (406);;;;;;;Programme de soins de base en oncologie;;;;Programme de soins pour enfants;service de gériatrique;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation chirurgicale de jour;;;;;;;;;
009;SP;1180;ZIEKENHUISNETWERK ANTWERPEN;ZNA STUIVENBERG;LANGE BEELDEKENSSTRAAT 267;2060;ANTWERPEN-6;03/217.71.11;www.zna.be;N;V;Antwerpen;Antwerpen;Algemeen ziekenhuis met universitair karakter;Openbaar;;;;145;;163;;53;;;;;;;;;25;;;;;;;;;;;386;2075;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;X (1);;;Dialysecentrum;X;;;;;X;;;;;;;;Zorgprogramma oncologie;;;;;;dienst voor geriatrie;;;;externe liaison;Intensieve Zorgen;;;;Gespecialiseerde Spoedgevallenzorg;Associatie mbt de gezamelijke exploitatie van de Functie Mobiele Urgentiegroep (MUG) via alternerende werking met GZA- Ziekenhuizen (Campus St. Vincentius) Antwerpen en A.Z. Monica Vzw (campus Deurne) Antwerpen ;Ziekenhuisbloedbank;Palliatieve zorgen;;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;Brandwondencentrum;;;
009;SS;2000;ZIEKENHUISNETWERK ANTWERPEN;ZNA MIDDELHEIM/KONINGIN PAOLA KINDERZIEKENHUIS;LINDENDREEF 1;2020;ANTWERPEN;03/280.31.11;;N;V;Antwerpen;Antwerpen;;;;;;191;;229;75;48;;61;23;;;36;15;;26;;;;;;;;;;;704;;;;Medische Beeldvorming met scanner;X (2);Pet- scanner;Radiotherapie ;Dialysecentrum;X;X;;;X;X;;;;;;X;;Zorgprogramma oncologie;;;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;;;;;Intensieve Zorgen;Lokale neonatale zorgen;Regionale Perinatale zorgen;;Gespecialiseerde Spoedgevallenzorg;Associatie mbt. de gezamelijke exploitatie van de functie Mobiele Urgentiegroep (MUG) via alternerende werking met GZA- Ziekenhuizen (Campus St. Augustinus) Wilrijk;Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
009;SS;2010;ZIEKENHUISNETWERK ANTWERPEN;ZNA HOGE BEUKEN;COMMANDANT WEYNSSTRAAT 165;2660;HOBOKEN;03/830.90.90;;N;V;Antwerpen;Antwerpen;;;;;;;;;;78;;24;8;;;;;;26;60;;;;;;;;;;196;;;;;;;;;;;;;;;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;;;;;Chirurgische Daghospitalisatie;;;;;;;;;
009;SS;2240;ZIEKENHUISNETWERK ANTWERPEN;ZNA JOOSTENS;KAPELLEI 133;2980;ZOERSEL;03/384.56.11;;N;V;Antwerpen;Voorkempen;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
009;SS;1190;ZIEKENHUISNETWERK ANTWERPEN;ZNA ST. ERASMUS;LT. LIPPENSLAAN 55;2140;BORGERHOUT;03/270.80.11;;N;V;Antwerpen;Antwerpen;;;60;;;27;;24;;;;;;;;26;;;;;12;;;;;;;;;149;;;;Medische Beeldvorming met scanner;;;;;X;;;;;;;;;;;;;Zorgprogramma oncologie;;;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;;;;;;;;Lokale neonatale zorgen;;;;;;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
009;SS;1200;ZIEKENHUISNETWERK ANTWERPEN;ZNA ST. ELISABETH;LEOPOLDSTRAAT 26;2000;ANTWERPEN-1;03/234.41.11;;N;V;Antwerpen;Antwerpen;;;;;;;;;;127;;;;;;;;;88;;;;27;;;;;;;242;;;;Medische Beeldvorming met scanner;;;;;;;;;;;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;;;;;;Niet- chirurgische daghospitalisatie;;;;;;;;
